Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product_ID,Product_Name,Category,Brand,Color,Size,Quantity,Price,Discount_Percent,Sales,Profit,Payment_Method,Inventory_Stock
ORD10001,2025-03-04,CUST1419,Customer_1001,Male,22,Chennai,Tamil Nadu,P002,Slim Fit Jeans,Jeans,DenimCo,Green,XXL,4,2499,20,7996.8,2310.21,Cash,78
ORD10002,2026-01-01,CUST1223,Customer_1002,Male,57,Vijayawada,Andhra Pradesh,P015,Track Pants,Sportswear,SportX,Pink,XL,4,1599,15,5436.6,1082.35,Debit Card,83
ORD10003,2026-10-11,CUST1039,Customer_1003,Female,53,Kakinada,Andhra Pradesh,P011,Cargo Pants,Trousers,UrbanWear,Blue,XL,3,1799,15,4587.45,1018.45,UPI,77
ORD10004,2026-05-10,CUST1468,Customer_1004,Female,26,Bhubaneswar,Odisha,P015,Track Pants,Sportswear,SportX,Red,L,2,1599,0,3198.0,948.16,Debit Card,9
ORD10005,2025-09-25,CUST1581,Customer_1005,Male,32,Delhi,Delhi,P011,Cargo Pants,Trousers,UrbanWear,Beige,M,1,1799,25,1349.25,356.0,UPI,50
ORD10006,2025-08-30,CUST1137,Customer_1006,Female,46,Vijayawada,Andhra Pradesh,P016,Denim Jacket,Outerwear,DenimCo,Beige,L,1,3199,15,2719.15,556.49,UPI,84
ORD10007,2025-11-14,CUST1483,Customer_1007,Female,34,Hyderabad,Telangana,P013,Saree,Ethnic Wear,Heritage,Beige,M,4,3999,0,15996.0,4528.42,Credit Card,70
ORD10008,2026-08-05,CUST1473,Customer_1008,Female,46,Kakinada,Andhra Pradesh,P013,Saree,Ethnic Wear,Heritage,Green,XL,1,3999,25,2999.25,304.78,Credit Card,79
ORD10009,2025-06-29,CUST1069,Customer_1009,Male,46,Mumbai,Maharashtra,P012,Kurta,Ethnic Wear,Heritage,Grey,L,3,1899,15,4842.45,633.18,Net Banking,59
ORD10010,2025-03-08,CUST1336,Customer_1010,Female,31,Pune,Maharashtra,P002,Slim Fit Jeans,Jeans,DenimCo,Grey,S,4,2499,20,7996.8,1773.59,Credit Card,46
ORD10011,2025-01-26,CUST1141,Customer_1011,Female,20,Bengaluru,Karnataka,P020,Sweatshirt,Sportswear,UrbanWear,Pink,M,2,1699,5,3228.1,928.88,Net Banking,33
ORD10012,2026-12-29,CUST1399,Customer_1012,Male,35,Mumbai,Maharashtra,P009,Sneakers,Footwear,SportX,Red,XXL,4,3299,0,13196.0,3595.35,Credit Card,21
ORD10013,2026-05-24,CUST1278,Customer_1013,Female,24,Vijayawada,Andhra Pradesh,P007,Formal Trousers,Trousers,OfficeLine,Beige,L,1,1999,0,1999.0,517.58,Net Banking,19
ORD10014,2025-06-24,CUST1181,Customer_1014,Female,45,Chennai,Tamil Nadu,P010,Polo Shirt,T-Shirts,StyleHub,Grey,M,4,1299,15,4416.6,811.88,Net Banking,13
ORD10015,2025-12-28,CUST1420,Customer_1015,Male,29,Bhubaneswar,Odisha,P007,Formal Trousers,Trousers,OfficeLine,Yellow,XXL,1,1999,10,1799.1,539.53,Credit Card,79
ORD10016,2025-02-27,CUST1058,Customer_1016,Male,56,Chennai,Tamil Nadu,P006,Running Shoes,Footwear,SportX,White,L,4,3599,25,10797.0,1726.37,Cash,24
ORD10017,2025-12-05,CUST1514,Customer_1017,Male,50,Mumbai,Maharashtra,P015,Track Pants,Sportswear,SportX,Green,XL,2,1599,25,2398.5,333.13,Cash,46
ORD10018,2026-04-04,CUST1051,Customer_1018,Female,35,Pune,Maharashtra,P007,Formal Trousers,Trousers,OfficeLine,Pink,S,4,1999,0,7996.0,1942.76,UPI,52
ORD10019,2025-05-08,CUST1353,Customer_1019,Female,25,Vijayawada,Andhra Pradesh,P004,Hoodie,Outerwear,UrbanWear,Blue,XXL,2,2199,20,3518.4,431.88,Net Banking,60
ORD10020,2025-04-21,CUST1576,Customer_1020,Male,38,Pune,Maharashtra,P009,Sneakers,Footwear,SportX,Green,XL,2,3299,20,5278.4,554.32,UPI,12
ORD10021,2025-04-28,CUST1344,Customer_1021,Female,38,Chennai,Tamil Nadu,P006,Running Shoes,Footwear,SportX,Pink,M,3,3599,20,8637.6,2645.89,Net Banking,36
ORD10022,2025-09-23,CUST1496,Customer_1022,Male,56,Chennai,Tamil Nadu,P011,Cargo Pants,Trousers,UrbanWear,Green,S,3,1799,25,4047.75,424.02,Credit Card,58
ORD10023,2025-06-28,CUST1396,Customer_1023,Female,49,Delhi,Delhi,P007,Formal Trousers,Trousers,OfficeLine,Beige,XL,1,1999,20,1599.2,258.86,Credit Card,15
ORD10024,2025-04-14,CUST1333,Customer_1024,Female,33,Kakinada,Andhra Pradesh,P013,Saree,Ethnic Wear,Heritage,Blue,XXL,5,3999,30,13996.5,1514.85,Debit Card,82
ORD10025,2026-03-30,CUST1310,Customer_1025,Female,29,Bhubaneswar,Odisha,P020,Sweatshirt,Sportswear,UrbanWear,Beige,XXL,2,1699,5,3228.1,529.41,UPI,20
ORD10026,2025-04-21,CUST1536,Customer_1026,Male,50,Chennai,Tamil Nadu,P011,Cargo Pants,Trousers,UrbanWear,Pink,XXL,1,1799,10,1619.1,515.4,Credit Card,90
ORD10027,2025-09-02,CUST1397,Customer_1027,Male,34,Hyderabad,Telangana,P003,Casual Shirt,Shirts,StyleHub,Pink,S,3,1499,15,3822.45,1031.46,Cash,76
ORD10028,2025-01-24,CUST1074,Customer_1028,Male,53,Bhubaneswar,Odisha,P008,Leather Jacket,Outerwear,LeatherCraft,Beige,S,2,4599,0,9198.0,1407.42,Cash,22
ORD10029,2025-07-24,CUST1187,Customer_1029,Female,51,Jaipur,Rajasthan,P008,Leather Jacket,Outerwear,LeatherCraft,Blue,XXL,3,4599,25,10347.75,1481.96,Debit Card,53
ORD10030,2025-07-23,CUST1080,Customer_1030,Male,47,Visakhapatnam,Andhra Pradesh,P009,Sneakers,Footwear,SportX,Beige,S,1,3299,30,2309.3,347.61,Credit Card,53
ORD10031,2026-09-23,CUST1483,Customer_1031,Male,48,Mumbai,Maharashtra,P019,Loafers,Footwear,OfficeLine,Black,XL,4,2799,25,8397.0,1208.75,Net Banking,17
ORD10032,2026-12-12,CUST1181,Customer_1032,Male,39,Bhubaneswar,Odisha,P009,Sneakers,Footwear,SportX,Green,XL,1,3299,15,2804.15,525.69,Credit Card,96
ORD10033,2026-03-12,CUST1334,Customer_1033,Male,45,Bhubaneswar,Odisha,P011,Cargo Pants,Trousers,UrbanWear,Pink,S,2,1799,30,2518.6,265.63,Cash,18
ORD10034,2025-05-13,CUST1560,Customer_1034,Female,52,Bhubaneswar,Odisha,P015,Track Pants,Sportswear,SportX,Red,L,3,1599,0,4797.0,1108.73,Cash,80
ORD10035,2025-07-02,CUST1479,Customer_1035,Male,28,Vijayawada,Andhra Pradesh,P017,Chinos,Trousers,OfficeLine,Red,L,1,1899,20,1519.2,429.13,Cash,63
ORD10036,2025-03-28,CUST1225,Customer_1036,Female,36,Pune,Maharashtra,P019,Loafers,Footwear,OfficeLine,White,XL,5,2799,25,10496.25,2002.32,Net Banking,88
ORD10037,2026-12-28,CUST1448,Customer_1037,Female,53,Kakinada,Andhra Pradesh,P006,Running Shoes,Footwear,SportX,Beige,S,3,3599,15,9177.45,1395.58,Net Banking,11
ORD10038,2025-08-21,CUST1187,Customer_1038,Female,24,Vijayawada,Andhra Pradesh,P010,Polo Shirt,T-Shirts,StyleHub,Beige,XXL,3,1299,10,3507.3,987.05,Debit Card,20
ORD10039,2026-01-30,CUST1013,Customer_1039,Female,20,Vijayawada,Andhra Pradesh,P004,Hoodie,Outerwear,UrbanWear,White,S,2,2199,20,3518.4,441.23,Net Banking,10
ORD10040,2026-08-28,CUST1191,Customer_1040,Female,39,Delhi,Delhi,P009,Sneakers,Footwear,SportX,Yellow,XXL,3,3299,15,8412.45,1569.75,Cash,86
ORD10041,2025-06-16,CUST1150,Customer_1041,Female,42,Kakinada,Andhra Pradesh,P011,Cargo Pants,Trousers,UrbanWear,Beige,L,1,1799,15,1529.15,232.56,Credit Card,9
ORD10042,2025-03-10,CUST1501,Customer_1042,Male,20,Mumbai,Maharashtra,P001,Classic T-Shirt,T-Shirts,UrbanWear,Red,XXL,2,799,30,1118.6,136.88,Cash,14
ORD10043,2025-08-23,CUST1482,Customer_1043,Female,51,Jaipur,Rajasthan,P017,Chinos,Trousers,OfficeLine,Grey,XL,5,1899,25,7121.25,2246.79,Cash,79
ORD10044,2026-12-07,CUST1515,Customer_1044,Female,37,Mumbai,Maharashtra,P015,Track Pants,Sportswear,SportX,Pink,M,1,1599,25,1199.25,255.59,Cash,66
ORD10045,2025-05-01,CUST1251,Customer_1045,Female,28,Vijayawada,Andhra Pradesh,P005,Summer Dress,Dresses,Elegance,Red,M,2,2999,0,5998.0,1230.39,Debit Card,40
ORD10046,2025-06-21,CUST1179,Customer_1046,Female,58,Bengaluru,Karnataka,P015,Track Pants,Sportswear,SportX,Yellow,XXL,2,1599,15,2718.3,681.92,Net Banking,51
ORD10047,2025-12-24,CUST1392,Customer_1047,Male,52,Mumbai,Maharashtra,P016,Denim Jacket,Outerwear,DenimCo,Green,L,2,3199,15,5438.3,1559.07,Cash,65
ORD10048,2026-03-13,CUST1417,Customer_1048,Female,55,Delhi,Delhi,P002,Slim Fit Jeans,Jeans,DenimCo,Beige,S,2,2499,5,4748.1,686.24,Net Banking,63
ORD10049,2026-01-17,CUST1562,Customer_1049,Female,23,Delhi,Delhi,P013,Saree,Ethnic Wear,Heritage,Beige,XXL,1,3999,20,3199.2,379.39,UPI,81
ORD10050,2026-11-11,CUST1568,Customer_1050,Male,28,Kolkata,West Bengal,P009,Sneakers,Footwear,SportX,Yellow,L,3,3299,15,8412.45,2312.8,UPI,14
ORD10051,2025-01-06,CUST1344,Customer_1051,Male,38,Kakinada,Andhra Pradesh,P011,Cargo Pants,Trousers,UrbanWear,Yellow,L,4,1799,5,6836.2,1533.29,Cash,78
ORD10052,2025-04-12,CUST1559,Customer_1052,Female,23,Chennai,Tamil Nadu,P019,Loafers,Footwear,OfficeLine,Pink,S,4,2799,15,9516.6,2207.0,Cash,13
ORD10053,2025-06-02,CUST1403,Customer_1053,Female,32,Chennai,Tamil Nadu,P010,Polo Shirt,T-Shirts,StyleHub,Yellow,XXL,4,1299,25,3897.0,1053.56,Net Banking,78
